benchmark,result,exit_code,cpu_time_seconds,system_time_seconds,wall_time_seconds,cpu_percentage,max_memory_kb,avg_memory_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,file_system_inputs,file_system_outputs,socket_messages_sent,socket_messages_received,signals_delivered,page_size_bytes,conflicts,decisions,propagations,restarts,conflict_literals,learnt_literals,max_literals,tot_literals,variables,clauses,original_clauses,learned_clauses_deleted,avg_clause_length,conflicts_per_second,decisions_per_second,propagations_per_second,random_decisions_percentage,preprocessing_time,solving_time,total_literals_in_learned,deleted_literals_percentage,file_size_bytes
fb0e505b8bd19a34f1f80b8e020e7856-constraints_17_0.4_2.sanitized,UNSAT,20,0,0,464.676697705,99,0,0,0,0,532,1554,848,0,0,0,0,4096,332599,594070,43472210,766,17833829,17833829,,17833829,2720,57086,57086,51.08,.09,715.76,1278.45,93553.66,0.00,,,17833829,51.08,29454384
fa5c6d6736a42650656c5bc018413254-bphp_p23_h22.sanitized,TIMEOUT,124,0,0,5000.138682001,99,0,0,0,0,42,1591,120,0,0,0,0,4096,,,,,,,,,115,5796,5796,,.03,,,,,,,,,209070
fae08ac5b6d7eeb4f56f1cfac6c51703-j3045_4_mdd_bm1,TIMEOUT,124,0,0,5000.145296646,99,0,0,0,0,62,6126,96,0,0,0,0,4096,,,,,,,,,13043,51999,51999,,.50,,,,,,,,,815490
fa50d69adc71fe4daf7f9088cd02864a-circuit_32in64out_with_150gates_6in6out_dist256_seed1.sanitized,TIMEOUT,124,0,0,5000.173679096,99,0,0,0,0,567,4959,0,0,0,0,0,4096,,,,,,,,,932,604800,604800,,0,,,,,,,,,32828849
f86dad4ba35369eb720a0c9ddc45037a-combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2,SAT,10,0,0,2203.255180865,99,0,0,0,0,49,802,0,0,0,0,0,4096,24039724,29279356,1530696520,32767,525184558,525184558,,525184558,1729,21678,21678,22.97,.15,10911.00,13289.13,694743.18,0.00,,,525184558,22.97,575804
f8443057c188f6c9cfb711ff3d4aa6ff-constraints_17_0.5_2.sanitized,UNSAT,20,0,0,2441.798829557,99,0,0,0,0,814,1830,0,0,0,0,0,4096,256804,456944,32978156,605,15989818,15989818,,15989818,2720,105706,105706,55.35,.05,105.17,187.13,13505.68,0.00,,,15989818,55.35,48153065
f7e855b18105170b0718086d3f5b5923-j3045_10_rggt_b,TIMEOUT,124,0,0,5000.152846448,99,0,0,0,0,54,10765,0,0,0,0,0,4096,,,,,,,,,14751,63112,63112,,.46,,,,,,,,,1055972
f746dae2050dd4aa48bcd53e8bd897b4-ex065_25,TIMEOUT,124,0,0,5000.164508340,99,0,0,0,0,157,8338,0,0,0,0,0,4096,,,,,,,,,74776,383421,383421,,.39,,,,,,,,,7408618
f54b352934be08821aa75b3424112956-linked_list_swap_contents_safety_unwind54,UNSAT,20,0,0,201.189704123,96,0,0,0,0,8651,301,0,0,0,0,0,4096,2903,980748,118035249,15,4403078,4403078,,4403078,1925993,21035273,21035273,28.10,.18,14.42,4874.74,586686.32,0.00,,,4403078,28.10,531278941
f70788e8446c1bc42684316de0a6c164-hwmcc20miters-iso-mul3.sanitized,TIMEOUT,124,0,0,5000.359640661,99,0,0,0,0,472,9024,0,0,0,0,0,4096,,,,,,,,,397070,1319964,1319964,,.60,,,,,,,,,26950883
f48735588e3515135f039e8bc8efaee5-asconhashv12_opt64_H11_M2-MxJOnbQIXNd_m5_6.c,SAT,10,0,0,30.252113417,99,0,0,0,0,163,145,0,0,0,0,0,4096,149285,675617,63950698,395,12207259,12207259,,12207259,158794,372805,372805,10.41,.85,4934.69,22332.88,2113924.97,0.00,,,12207259,10.41,7874388
f50eaf02a8041510b64104998cc81d2f-sted5_0x24204-50,SAT,10,0,0,1897.741958492,99,0,0,0,0,57,1168,0,0,0,0,0,4096,5984554,7614696,1090373111,9595,245962904,245962904,,245962904,2345,61855,61855,35.66,.07,3153.51,4012.50,574563.42,0.00,,,245962904,35.66,1272276
f45e5faf1bcccbdd3065dd6367c3bd16-x9-10083.sat.sanitized,UNSAT,20,0,0,1988.388682326,99,0,0,0,0,40,3225,0,0,0,0,0,4096,35706089,43783770,3692957748,49150,1132854515,1132854515,,1132854515,500,4512,4512,27.28,.22,17957.29,22019.72,1857261.50,0.00,,,1132854515,27.28,55969
f561c52b987bdb9031a477864070b759-Ptn-7824-b18,TIMEOUT,124,0,0,5000.163585653,99,0,0,0,0,40,4919,0,0,0,0,0,4096,,,,,,,,,3692,13727,13727,,.53,,,,,,,,,232409
f296fe701a562022c0de0cf565fbca7d-x9-08014.sat.sanitized,UNSAT,20,0,0,124.770223517,99,0,0,0,0,36,179,0,0,0,0,0,4096,3874906,4783739,342185532,6824,104507202,104507202,,104507202,400,3597,3597,26.33,.22,31056.33,38340.38,2742525.59,0.00,,,104507202,26.33,44138
f376d4c191518ed704326960b6b19a4b-x9-10084.sat.sanitized,UNSAT,20,0,0,2517.994757549,99,0,0,0,0,39,985,0,0,0,0,0,4096,44679027,54572767,4611660782,63138,1439778566,1439778566,,1439778566,500,4511,4511,27.94,.22,17743.89,21673.10,1831481.48,0.00,,,1439778566,27.94,55926
f32bb347996c351bc3e9a91c58e8601d-DLTM_twitter774_83_17,TIMEOUT,124,0,0,5000.139057825,99,0,0,0,0,71,7384,0,0,0,0,0,4096,,,,,,,,,21208,122062,122062,,.34,,,,,,,,,2168437
f18c7c7b8666458fd04ea7a253ae1e20-FmlaImplyChain_3_7_7.sanitized,TIMEOUT,124,0,0,5000.270923879,99,0,0,0,0,64,12743,0,0,0,0,0,4096,,,,,,,,,16093,95886,95886,,.33,,,,,,,,,1700216
f054205a7cef98e5021016f864c69816-summle_X11112_steps6_I1-2-2-4-4-8-25-100,SAT,10,0,0,50.792707749,99,0,0,0,0,88,67,0,0,0,0,0,4096,201034,288783,238671458,510,6638360,6638360,,6638360,76707,163276,163276,53.48,.93,3957.93,5685.52,4698931.57,0.00,,,6638360,53.48,3275780
f16b7329ef5728f722c291156b3b098e-af-synthesis_stb_50_100_9_unsat,TIMEOUT,124,0,0,5000.171915396,99,0,0,0,0,124,9654,0,0,0,0,0,4096,,,,,,,,,21894,248471,248471,,.17,,,,,,,,,5486519
ef330d1b144055436a2d576601191ea5-crn_11_99_u,UNSAT,20,0,0,114.330946522,99,0,0,0,0,38,443,0,0,0,0,0,4096,12860569,17304207,641137747,19020,242861503,242861503,,242861503,1287,2332,2332,14.97,1.10,112485.45,151351.90,5607735.84,0.00,,,242861503,14.97,38796
f15ad4206d95a3f8f1358b33301539be-ER_400_20_7.apx_1_DC-AD,TIMEOUT,124,0,0,5000.142479371,99,0,0,0,0,45,5229,0,0,0,0,0,4096,,,,,,,,,802,48037,48037,,.03,,,,,,,,,584415
f0426369f61595aee97055965ee7e6a3-hwmcc12miters-xits-iso-6s111.sanitized,TIMEOUT,124,0,0,5000.353431863,99,0,0,0,0,705,6525,0,0,0,0,0,4096,,,,,,,,,689179,2102485,2102485,,.65,,,,,,,,,41382867
ef16970ab9da31165d3c401ff9b29168-Folkman-185-152478531.sanitized,TIMEOUT,124,0,0,5000.138158277,99,0,0,0,0,44,10612,0,0,0,0,0,4096,,,,,,,,,17014,21018,21018,,1.61,,,,,,,,,410563
eddd68e14d69cce7190b99f4e7abdafb-x9-10098.sat.sanitized,SAT,10,0,0,83.344170733,99,0,0,0,0,38,64,0,0,0,0,0,4096,2359652,3037645,244910034,4095,77277112,77277112,,77277112,500,4496,4496,23.77,.22,28312.14,36447.00,2938538.25,0.00,,,77277112,23.77,55796
edceb8782e72e290fa54757dbfdd0173-x9-09057.sat.sanitized,UNSAT,20,0,0,432.918301198,99,0,0,0,0,38,183,0,0,0,0,0,4096,10914303,13308948,1060287674,16383,321843216,321843216,,321843216,450,4051,4051,26.52,.22,25210.99,30742.40,2449163.43,0.00,,,321843216,26.52,50018
eda4aa84aeeb306468396fa82a6bba5a-pb_300_05_lb_17,SAT,10,0,0,1825.927506012,99,0,0,0,0,226,2349,0,0,0,0,0,4096,1339242,4496381,1893830131,2558,240247438,240247438,,240247438,145862,624664,624664,26.13,.46,733.45,2462.51,1037188.01,0.00,,,240247438,26.13,11665679
eed5189b73738270ae3fdb8b33bf31c8-Folkman-180-11710376.sanitized,TIMEOUT,124,0,0,5000.134444614,99,0,0,0,0,43,8394,0,0,0,0,0,4096,,,,,,,,,16092,19102,19102,,1.68,,,,,,,,,371981
ee57608ea4b74f25aebca809d59711c9-oisc-subrv-sll-nested-13,TIMEOUT,124,0,0,5000.495873634,99,0,0,0,0,13184,5845,0,0,0,0,0,4096,,,,,,,,,9898473,34375985,34375985,,.57,,,,,,,,,810861609
ecca77b5350eca6a4323edd5b38208c6-004,SAT,10,0,0,1978.644460798,99,0,0,0,0,116,2411,0,0,0,0,0,4096,14993659,102431336,1801102283,22525,1749608507,1749608507,,1749608507,4288,76353,76353,11.49,.11,7577.74,51768.43,910270.80,0.00,,,1749608507,11.49,4913074
e99e266b422513a2898c13898a1de501-rbsat-v760c43649gyes9,SAT,10,0,0,86.366124968,99,0,0,0,0,44,53,0,0,0,0,0,4096,972767,1415093,87373003,2045,48750064,48750064,,48750064,760,43649,43649,49.42,.03,11263.29,16384.81,1011658.25,0.00,,,48750064,49.42,512336
e8abb9c83efdd96a99990f3b914ea873-linked_list_swap_contents_safety_unwind57,UNSAT,20,0,0,247.496940242,97,0,0,0,0,9557,386,0,0,0,0,0,4096,5632,2971919,270748634,30,9878377,9878377,,9878377,2072718,23155606,23155606,28.79,.17,22.75,12007.90,1093947.39,0.00,,,9878377,28.79,587371232
e85fb114c33f450dc2622c78bc6fa019-lru_7.sanitized,ERROR,0,0,0,45.116645757,67,0,0,0,0,21341,48,256,0,0,0,0,4096,,,,,,,,,0,0,0,,0,,,,,,,,,1834162897
ec84eecb124c63d4757e083dd0e5a9ff-mchess_15,UNSAT,20,0,0,4347.128518717,99,0,0,0,0,40,6815,0,0,0,0,0,4096,490961797,734773313,10122817931,524287,9054564739,9054564739,,9054564739,420,1387,1387,16.61,.60,112939.33,169024.98,2328621.72,0.00,,,9054564739,16.61,16994
ea827f81bd0e9735739adc0d9da1b446-ER_500_30_3.apx_2_DC-AD,TIMEOUT,124,0,0,5000.146356392,99,0,0,0,0,58,9815,0,0,0,0,0,4096,,,,,,,,,1002,113463,113463,,.01,,,,,,,,,1393533
e85e793a66a2c9d390f40acf29a5346b-1-ET-512-K-110.sanitized,TIMEOUT,124,0,0,5000.221893137,99,0,0,0,0,702,7567,0,0,0,0,0,4096,,,,,,,,,51349,2541296,2541296,,.04,,,,,,,,,41137934
e6cdc2687fa53506021f05b60ad0c6a2-GracefulGraph-K05-P02_c18,SAT,10,0,0,226.911041670,99,0,0,0,0,43,885,0,0,0,0,0,4096,3705210,4650025,514573942,6458,108682648,108682648,,108682648,1385,27650,27650,38.40,.10,16328.91,20492.72,2267734.25,0.00,,,108682648,38.40,383684
e84b00b1f134e0e071a2baf54cfc90e8-ER_400_20_4.apx_2_DC-ST,TIMEOUT,124,0,0,5000.134089427,99,0,0,0,0,45,5771,0,0,0,0,0,4096,,,,,,,,,802,49551,49551,,.03,,,,,,,,,602472
e7248b57a310ad461924eb17956cdf3a-Folkman-190-358004741.sanitized,TIMEOUT,124,0,0,5000.152388632,99,0,0,0,0,44,4851,0,0,0,0,0,4096,,,,,,,,,17937,22134,22134,,1.62,,,,,,,,,435163
e371cd7cdde3e7ccb9834290fd4a92d0-32_350.sanitized,ERROR,0,0,0,48.275127483,66,0,0,0,0,21271,54,0,0,0,0,0,4096,,,,,,,,,0,0,0,,0,,,,,,,,,2402803061
e2deb375e56da2360ecd08fc1179fb7d-circuit_48in24out_with_100gates_7in7out_dist128_seed1.sanitized,SAT,10,0,0,542.356906297,99,0,0,0,0,1697,797,0,0,0,0,0,4096,73075,150125,1959323,228,1319155,1319155,,1319155,748,1625600,1625600,6.46,0,134.73,276.80,3612.60,0.00,,,1319155,6.46,102608136
e0bf26a7527cd162c7d3016d4b2ab9fb-md5_48_1,SAT,10,0,0,147.734995195,99,0,0,0,0,126,199,0,0,0,0,0,4096,584557,3894872,276281910,1244,38216856,38216856,,38216856,66892,239929,239929,15.20,.55,3956.79,26363.90,1870118.24,0.00,,,38216856,15.20,5624918
e481a97a93fd6b4303f39024d19c2867-j3037_1_gmto_b,TIMEOUT,124,0,0,5000.154743135,99,0,0,0,0,56,2793,0,0,0,0,0,4096,,,,,,,,,21015,69505,69505,,.60,,,,,,,,,1224186
e08f11f0a3bd266ee5c78ce332de107f-x9-10096.sat.sanitized,UNSAT,20,0,0,2055.303455651,99,0,0,0,0,40,2454,0,0,0,0,0,4096,37360530,45846326,3873346188,51579,1243424297,1243424297,,1243424297,500,4502,4502,27.23,.22,18177.62,22306.35,1884561.70,0.00,,,1243424297,27.23,55803
e067414e153ee98a7842bd6d6dafeee5-af-synthesis_stb_50_200_0_sat,SAT,10,0,0,143.838468048,99,0,0,0,0,198,278,0,0,0,0,0,4096,248801,323348,300464070,574,9423260,9423260,,9423260,32717,462721,462721,50.87,.14,1729.72,2247.99,2088899.26,0.00,,,9423260,50.87,10051505
e38601380bfbab35dd8c5927283533fb-lec_mult_CvK_11x11.sanitized,TIMEOUT,124,0,0,5000.123080232,99,0,0,0,0,41,6329,0,0,0,0,0,4096,,,,,,,,,5061,15140,15140,,.66,,,,,,,,,216510
ded23680dfeab2879c05bc0e4de21126-x9-09014.sat.sanitized,UNSAT,20,0,0,416.454690591,99,0,0,0,0,39,234,0,0,0,0,0,4096,10326935,12700855,991486880,16382,299314429,299314429,,299314429,450,4051,4051,27.20,.22,24797.25,30497.56,2380779.71,0.00,,,299314429,27.20,50003
df1bd67978b9b0ec1d326ba174bc273c-x9-12021.sat.sanitized,SAT,10,0,0,658.260183409,99,0,0,0,0,38,566,0,0,0,0,0,4096,12198399,15843789,1432349592,17916,459349447,459349447,,459349447,600,5392,5392,24.10,.22,18531.27,24069.18,2175962.67,0.00,,,459349447,24.10,67331
ddc0720fa5a91d9cc0dc726644ab9e9f-6s167-opt,UNSAT,20,0,0,1002.305298990,99,0,0,0,0,41,728,0,0,0,0,0,4096,35090066,49487203,3963258190,49149,1060020304,1060020304,,1060020304,4640,13079,13079,47.29,.70,35009.35,49373.38,3954142.70,0.00,,,1060020304,47.29,190638
e06be7a69dbd6d6866a2799cd40c4bfe-hwmcc20miters-iso-mul7.sanitized,TIMEOUT,124,0,0,5000.287207245,99,0,0,0,0,473,7429,0,0,0,0,0,4096,,,,,,,,,398684,1325288,1325288,,.60,,,,,,,,,27065683
de7a6b03999e2bc5bd750831c2662a4d-noL-11-18.sanitized,TIMEOUT,124,0,0,5000.163586202,99,0,0,0,0,40,7437,0,0,0,0,0,4096,,,,,,,,,1419,7821,7821,,.36,,,,,,,,,133559
dd7164f2592c9675618c5c99af9b70f3-1-ZC-512-K-64.sanitized,TIMEOUT,124,0,0,5000.172347797,99,0,0,0,0,317,6866,0,0,0,0,0,4096,,,,,,,,,31776,1082779,1082779,,.05,,,,,,,,,17467365
dd57f6ebf07a7f932a82bed1877788e6-lec_mult_KvW_10x10.sanitized,UNSAT,20,0,0,1237.178014707,99,0,0,0,0,41,2128,0,0,0,0,0,4096,14588137,16450190,4807866231,21879,445438305,445438305,,445438305,3790,11331,11331,70.95,.66,11791.46,13296.54,3886155.56,0.00,,,445438305,70.95,160565
dd5fc8da5454a990a0e7999884158c64-1-ET-256-K-70.sanitized,TIMEOUT,124,0,0,5000.156665908,99,0,0,0,0,159,8468,0,0,0,0,0,4096,,,,,,,,,16017,501116,501116,,.06,,,,,,,,,7663473
dcf5b8224d1e0748871c83ee10067255-2dlx_ca_bp_f_liveness,TIMEOUT,124,0,0,5000.418695656,99,0,0,0,0,1575,6527,0,0,0,0,0,4096,,,,,,,,,202253,4313013,4313013,,.09,,,,,,,,,95015993
dc7817dfa2817916b266c1cfacd2ee66-constraints_25_4_5_12_12_0_0_0.sanitized,TIMEOUT,124,0,0,5000.145110903,99,0,0,0,0,89,10271,0,0,0,0,0,4096,,,,,,,,,14650,110155,110155,,.26,,,,,,,,,3226476
db15a85651e0d941a11bf8640625edd8-mdp-32-11-sat,TIMEOUT,124,0,0,5000.133513951,99,0,0,0,0,38,1883,0,0,0,0,0,4096,,,,,,,,,1038,5841,5841,,.35,,,,,,,,,93195
dafc03ea784fee849febca7b64230558-pcmax-scheduling-m30-14113-167638-UNSAT.sanitized,TIMEOUT,124,0,0,5000.161821006,99,0,0,0,0,81,9789,0,0,0,0,0,4096,,,,,,,,,14112,166497,166497,,.16,,,,,,,,,2826926
dacb03ea801d459ef08db23a8b1d104f-lec_mult_DvW_12x12.sanitized,TIMEOUT,124,0,0,5000.171310086,99,0,0,0,0,39,4390,0,0,0,0,0,4096,,,,,,,,,3153,9412,9412,,.66,,,,,,,,,131299
da929c2aefde5e59878ad87c4323e581-pcmax-scheduling-m12-8049-55035-SAT.sanitized,TIMEOUT,124,0,0,5000.152111437,99,0,0,0,0,51,6088,0,0,0,0,0,4096,,,,,,,,,8048,54850,54850,,.29,,,,,,,,,960142
d7f2e4ec8e631387c928c79e1054c663-stb_418_125.apx_1_DC-AD,TIMEOUT,124,0,0,6166.706110820,81,0,0,0,0,40,5375,0,0,0,0,0,4096,,,,,,,,,836,16644,16644,,.10,,,,,,,,,204991
d7dbb2cba940af33b2bce37ea99b8110-6s130-opt,TIMEOUT,124,0,0,6166.679299327,81,0,0,0,0,74,7265,0,0,0,0,0,4096,,,,,,,,,49370,144360,144360,,.68,,,,,,,,,2385283
d7627176604d5b86f34d2f5d14d8ee99-worker_40_80_40_0.9,TIMEOUT,124,0,0,12787.615936955,39,0,0,0,0,54,11771,0,0,0,0,0,4096,,,,,,,,,2508,87544,87544,,.05,,,,,,,,,1158002
d5f6b2092795aad67d1df1fd3a329552-ER_400_20_7.apx_2_DC-ST,TIMEOUT,124,0,0,21356.870884682,23,0,0,0,0,45,3651,0,0,0,0,0,4096,,,,,,,,,802,48438,48438,,.03,,,,,,,,,588317
d40a68825bdbcdd7642b249325a7b6a2-Folkman-180-5383714.sanitized,TIMEOUT,124,0,0,21356.931084208,23,0,0,0,0,42,5744,0,0,0,0,0,4096,,,,,,,,,16109,19268,19268,,1.67,,,,,,,,,373996
d195412a62cdcbb851136f60af76f463-x9-09098.sat.sanitized,UNSAT,20,0,0,506.694946538,99,0,0,0,0,38,283,0,0,0,0,0,4096,10989180,13595376,1041926341,16383,326775852,326775852,,326775852,450,4047,4047,26.10,.22,21687.96,26831.48,2056318.79,0.00,,,326775852,26.10,50052
d1940d3d830eb16a7d2270ca4af4acba-mdp-28-11-sat,SAT,10,0,0,673.872071586,99,0,0,0,0,38,288,0,0,0,0,0,4096,20654975,21392974,4453498823,31328,517844326,517844326,,517844326,799,4437,4437,32.08,.36,30651.18,31746.34,6608819.40,0.00,,,517844326,32.08,69854
d3893e43819a907055a84e48a6ee97ba-g2-ak128boothbg2msaig,TIMEOUT,124,0,0,14754.099515310,34,0,0,0,0,549,9055,0,0,0,0,0,4096,,,,,,,,,572519,1715261,1715261,,.66,,,,,,,,,31715559
d11944fbca2dd6540f18bd05b6ccda0c-mdp-32-14-sat,TIMEOUT,124,0,0,5118.959573122,99,0,0,0,0,39,2497,0,0,0,0,0,4096,,,,,,,,,1027,5749,5749,,.35,,,,,,,,,91640
d02fae1e84cfbe799c792ba237f08f66-exam_flat_0.04_2018_3,TIMEOUT,124,0,0,5131.910335238,99,0,0,0,0,662,14898,0,0,0,0,0,4096,,,,,,,,,1275631,1974386,1974386,,1.29,,,,,,,,,38757369
cd361d33986dccd7f2d86016d6c35241-ecarev-110-4099-22-30-7,SAT,10,0,0,354.895884754,99,0,0,0,0,311,569,0,0,0,0,0,4096,3792587,30543343,691559163,6652,75221973,75221973,,75221973,127069,737820,737820,22.45,.34,10686.47,86062.82,1948625.47,0.00,,,75221973,22.45,16920938
cdd131110acc861a5a01fae6c4936c91-6g_6color_366_050_04,TIMEOUT,124,0,0,5147.490179846,99,0,0,0,0,2202,10242,0,0,0,0,0,4096,,,,,,,,,77328,8485566,8485566,,.01,,,,,,,,,133637786
cd33a862b81ba7b887845d3510c41c62-MASG0_72_keystream76_0,SAT,10,0,0,3877.098879101,99,0,0,0,0,46,3560,0,0,0,0,0,4096,24790088,25450785,24052126872,33277,570517109,570517109,,570517109,3426,20454,20454,57.59,.33,6393.97,6564.38,6203640.30,0.00,,,570517109,57.59,516722
cdce6277b01ae06ddb95468c5f05de71-simon-r17-0.sanitized,TIMEOUT,124,0,0,5239.604398602,100,0,0,0,0,40,2973,0,0,0,0,0,4096,,,,,,,,,2848,9312,9312,,.61,,,,,,,,,147995
cccee4b0d4c70a5d5422663e2d8887da-1-ET-512-K-96.sanitized,TIMEOUT,124,0,0,5193.170839019,100,0,0,0,0,576,11704,0,0,0,0,0,4096,,,,,,,,,45616,2064043,2064043,,.04,,,,,,,,,33388428
ca14adcb9296a7b31d7815c2ed16d0f1-ITC2021_Early_3.xml,SAT,10,0,0,.430009155,76,0,0,0,0,65,1,0,0,0,0,0,4096,906,22203,786193,7,58452,58452,,58452,29478,125712,125712,0.28,.46,2106.93,51633.78,1828316.88,0.00,,,58452,0.28,1971688
c9f511adbb3d6e1b37b410f972f270c6-af-synthesis_stb_50_140_3_unsat,UNSAT,20,0,0,1068.209308956,99,0,0,0,0,151,1528,0,0,0,0,0,4096,1129802,1299229,1148699736,2059,36809626,36809626,,36809626,25851,326840,326840,64.23,.15,1057.65,1216.26,1075350.80,0.00,,,36809626,64.23,7135936
